"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"InteracoesPDH","ClinicalUseDefinition.interaction.interactant.item[x]","ClinicalUseDefinition.interaction.interactant.item[x]","","","",1,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/MedicinalProductDefinition|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Medication|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/Substance|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/NutritionProduct|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/BiologicallyDerivedProduct|5.0.0], CanonicalType[http://hl7.org/fhir/StructureDefinition/ObservationDefinition|5.0.0]]}
CodeableConcept {[]} {[]}","The specific medication, product, food etc. or laboratory test that interacts","The specific medication, product, food, substance etc. or laboratory test that interacts.","","","","","","","","","",,"example","An interactant - a substance that may have a clinically significant effect on another.","http://hl7.org/fhir/ValueSet/interactant|5.0.0","",,,,"ClinicalUseDefinition.interaction.interactant.item[x]",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"InteracoesPDH","ClinicalUseDefinition.interaction.type","ClinicalUseDefinition.interaction.type","","","",1,1,"","","Y","CodeableConcept {[]} {[]}
","The type of the interaction e.g. drug-drug interaction, drug-lab test interaction","The type of the interaction e.g. drug-drug interaction, drug-food interaction, drug-lab test interaction.","","","","","","","","","",,"required","","http://hl7.org/fhir/interaction-type","",,,,"ClinicalUseDefinition.interaction.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"InteracoesPDH","ClinicalUseDefinition.interaction.effect","ClinicalUseDefinition.interaction.effect","","","",0,1,"","","Y","CodeableReference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/ObservationDefinition|5.0.0]]}
","The effect of the interaction, for example ""reduced gastric absorption of primary medication""","The effect of the interaction, for example ""reduced gastric absorption of primary medication"".","","","","","","","","","",,"example","A interaction effect of clinical use of a medication or other substance.","http://hl7.org/fhir/ValueSet/interaction-effect|5.0.0","",,,,"ClinicalUseDefinition.interaction.effect",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"InteracoesPDH","ClinicalUseDefinition.interaction.incidence","ClinicalUseDefinition.interaction.incidence","","","",0,1,"Y","","Y","CodeableConcept {[]} {[]}
","The incidence of the interaction, e.g. theoretical, observed","The incidence of the interaction, e.g. theoretical, observed.","","","","","","","","","",,"example","A categorisation for incidence of occurence of an interaction.","http://hl7.org/fhir/ValueSet/interaction-incidence|5.0.0","",,,,"ClinicalUseDefinition.interaction.incidence",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"InteracoesPDH","ClinicalUseDefinition.interaction.management","ClinicalUseDefinition.interaction.management","","","",0,*,"Y","","Y","CodeableConcept {[]} {[]}
","Actions for managing the interaction","Actions for managing the interaction.","","","","","","","","","",,"example","A type of management for an interaction of a medication or other substance.","http://hl7.org/fhir/ValueSet/interaction-management|5.0.0","",,,,"ClinicalUseDefinition.interaction.management",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"InteracoesPDH","ClinicalUseDefinition.population","ClinicalUseDefinition.population","","","",0,*,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Group|5.0.0]]}
","The population group to which this applies","The population group to which this applies.","","","","","","","","","",,,,,"",,,,"ClinicalUseDefinition.population",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"InteracoesPDH","ClinicalUseDefinition.library","ClinicalUseDefinition.library","","","",0,*,"","","Y","canonical {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Library|5.0.0]]}
","Logic used by the clinical use definition","Logic used by the clinical use definition.","","","","","","","","","",,,,,"",,,,"ClinicalUseDefinition.library",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"InteracoesPDH","ClinicalUseDefinition.undesirableEffect","ClinicalUseDefinition.undesirableEffect","","","",0,1,"","","Y","BackboneElement {[]} {[]}
","A possible negative outcome from the use of this treatment","Describe the possible undesirable effects (negative outcomes) from the use of the medicinal product as treatment.","","","","","","","","","",,,,,"",,,,"ClinicalUseDefinition.undesirableEffect",0,1,"cud-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"InteracoesPDH","ClinicalUseDefinition.undesirableEffect.id","ClinicalUseDefinition.undesirableEffect.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"InteracoesPDH","ClinicalUseDefinition.undesirableEffect.extension","ClinicalUseDefinition.undesirableEffect.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"InteracoesPDH","ClinicalUseDefinition.undesirableEffect.modifierExtension","ClinicalUseDefinition.undesirableEffect.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"InteracoesPDH","ClinicalUseDefinition.undesirableEffect.symptomConditionEffect","ClinicalUseDefinition.undesirableEffect.symptomConditionEffect","","","",0,1,"","","Y","CodeableReference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/ObservationDefinition|5.0.0]]}
","The situation in which the undesirable effect may manifest","The situation in which the undesirable effect may manifest.","","","","","","","","","",,"example","An undesirable effect of clinical use.","http://hl7.org/fhir/ValueSet/undesirable-effect-symptom|5.0.0","",,,,"ClinicalUseDefinition.undesirableEffect.symptomConditionEffect",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"InteracoesPDH","ClinicalUseDefinition.undesirableEffect.classification","ClinicalUseDefinition.undesirableEffect.classification","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","High level classification of the effect","High level classification of the effect.","","","","","","","","","",,"example","A categorisation for an undesirable effect.","http://hl7.org/fhir/ValueSet/undesirable-effect-classification|5.0.0","",,,,"ClinicalUseDefinition.undesirableEffect.classification",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"InteracoesPDH","ClinicalUseDefinition.undesirableEffect.frequencyOfOccurrence","ClinicalUseDefinition.undesirableEffect.frequencyOfOccurrence","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","How often the effect is seen","How often the effect is seen.","","","","","","","","","",,"example","A categorisation for a frequency of occurence of an undesirable effect.","http://hl7.org/fhir/ValueSet/undesirable-effect-frequency|5.0.0","",,,,"ClinicalUseDefinition.undesirableEffect.frequencyOfOccurrence",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"InteracoesPDH","ClinicalUseDefinition.warning","ClinicalUseDefinition.warning","","","",0,1,"","","Y","BackboneElement {[]} {[]}
","Critical environmental, health or physical risks or hazards. For example 'Do not operate heavy machinery', 'May cause drowsiness'","A critical piece of information about environmental, health or physical risks or hazards that serve as caution to the user. For example 'Do not operate heavy machinery', 'May cause drowsiness', or 'Get medical advice/attention if you feel unwell'.","","","","","","","","","",,,,,"",,,,"ClinicalUseDefinition.warning",0,1,"cud-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"InteracoesPDH","ClinicalUseDefinition.warning.id","ClinicalUseDefinition.warning.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"InteracoesPDH","ClinicalUseDefinition.warning.extension","ClinicalUseDefinition.warning.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"InteracoesPDH","ClinicalUseDefinition.warning.modifierExtension","ClinicalUseDefinition.warning.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"InteracoesPDH","ClinicalUseDefinition.warning.description","ClinicalUseDefinition.warning.description","","","",0,1,"","","Y","markdown {[]} {[]}
","A textual definition of this warning, with formatting","A textual definition of this warning, with formatting.","","","","","","","","","",,,,,"",,,,"ClinicalUseDefinition.warning.description",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"InteracoesPDH","ClinicalUseDefinition.warning.code","ClinicalUseDefinition.warning.code","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","A coded or unformatted textual definition of this warning","A coded or unformatted textual definition of this warning.","","","","","","","","","",,"example","Classification of warning type.","http://hl7.org/fhir/ValueSet/warning-type|5.0.0","",,,,"ClinicalUseDefinition.warning.code",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge","MedicationKnowledge","","","",0,*,"","","","null {[]} {[]}
","Definition of Medication Knowledge","Information about a medication that is used to support knowledge.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge",0,*,"",""
"MedicationKnowledgePDH","MedicationKnowledge.id","MedicationKnowledge.id","","","",0,1,"","","Y","id {[]} {[]}
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","Within the context of the FHIR RESTful interactions, the resource has an id except for cases like the create and conditional update. Otherwise, the use of the resouce id depends on the given use case.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"MedicationKnowledgePDH","MedicationKnowledge.meta","MedicationKnowledge.meta","","","",0,1,"","","Y","Meta {[]} {[]}
","Metadata about the resource","The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content might not always be associated with version changes to the resource.","","","","","","","","","",,,,,"",,,,"Resource.meta",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.implicitRules","MedicationKnowledge.implicitRules","","","",0,1,"","Y","Y","uri {[]} {[]}
","A set of rules under which this content was created","A reference to a set of rules that were followed when the resource was constructed, and which must be understood when processing the content. Often, this is a reference to an implementation guide that defines the special rules along with other profiles etc.","Asserting this rule set restricts the content to be only understood by a limited set of trading partners. This inherently limits the usefulness of the data in the long term. However, the existing health eco-system is highly fractured, and not yet ready to define, collect, and exchange data in a generally computable sense. Wherever possible, implementers and/or specification writers should avoid using this element. Often, when used, the URL is a reference to an implementation guide that defines these special rules as part of its narrative along with other profiles, value sets, etc.","","","","","","","","",,,,,"",,,,"Resource.implicitRules",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.language","MedicationKnowledge.language","","","",0,1,"","","","code {[]} {[]}
","Language of the resource content","The base language in which the resource is written.","Language is provided to support indexing and accessibility (typically, services such as text to speech use the language tag). The html language tag in the narrative applies  to the narrative. The language tag on the resource may be used to specify the language of other presentations generated from the data in the resource. Not all the content has to be in the base language. The Resource.language should not be assumed to apply to the narrative automatically. If a language is specified, it should it also be specified on the div element in the html (see rules in HTML5 for information about the relationship between xml:lang and the html lang attribute).","","","","","","","","",,"required","IETF language tag for a human language","http://hl7.org/fhir/ValueSet/all-languages|5.0.0","",,,,"Resource.language",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.text","MedicationKnowledge.text","","narrative
htmlxhtmldisplay","",0,1,"","","","Narrative {[]} {[]}
","Text summary of the resource, for human interpretation","A human-readable narrative that contains a summary of the resource and can be used to represent the content of the resource to a human. The narrative need not encode all the structured data, but is required to contain sufficient detail to make it ""clinically safe"" for a human to just read the narrative. Resource definitions may define what content should be represented in the narrative to ensure clinical safety.","Contained resources do not have a narrative. Resources that are not contained SHOULD have a narrative. In some cases, a resource may only have text with little or no additional discrete data (as long as all minOccurs=1 elements are satisfied).  This may be necessary for data from legacy systems where information is captured as a ""text blob"" or where text is additionally entered raw or narrated and encoded information is added later.","","","","","","","","",,,,,"",,,,"DomainResource.text",0,1,"dom-6
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.contained","MedicationKnowledge.contained","","inline resources
anonymous resourcescontained resources","",0,*,"","","","Resource {[]} {[]}
","Contained, inline Resources","These resources do not have an independent existence apart from the resource that contains them - they cannot be identified independently, nor can they have their own independent transaction scope. This is allowed to be a Parameters resource if and only if it is referenced by a resource that provides context/meaning.","This should never be done when the content can be identified properly, as once identification is lost, it is extremely difficult (and context dependent) to restore it again. Contained resources may have profiles and tags in their meta elements, but SHALL NOT have security labels.","","","","","","","","",,,,,"",,,,"DomainResource.contained",0,*,"dom-2
dom-4dom-3dom-5",""
"MedicationKnowledgePDH","MedicationKnowledge.extension","MedicationKnowledge.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the resource. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"MedicationKnowledgePDH","MedicationKnowledge.modifierExtension","MedicationKnowledge.modifierExtension","","extensions
user content","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the resource and that modifies the understanding of the element that contains it and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"DomainResource.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"MedicationKnowledgePDH","MedicationKnowledge.identifier","MedicationKnowledge.identifier","","","",0,*,"","","Y","Identifier {[]} {[]}
","Business identifier for this medication","Business identifier for this medication.","This is a business identifier, not a resource identifier (see discussion).","","","","","","","","",,,,,"",,,,"MedicationKnowledge.identifier",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.code","MedicationKnowledge.code","","","",1,1,"Y","","Y","CodeableConcept {[]} {[]}
","Code that identifies this medication","A code that specifies this medication, or a textual description if no code is available. Usage note: This could be a standard medication code such as a code from RxNorm, SNOMED CT, IDMP etc. It could also be a national or local formulary code, optionally with translations to other code systems.","Depending on the context of use, the code that was actually selected by the user (prescriber, dispenser, etc.) will have the coding.userSelected set to true.  As described in the coding datatype: ""A coding may be marked as a ""userSelected"" if a user selected the particular coded value in a user interface (e.g. the user selects an item in a pick-list). If a user selected coding exists, it is the preferred choice for performing translations etc. Other codes can only be literal translations to alternative code systems, or codes at a lower level of granularity (e.g. a generic code for a vendor-specific primary one).","","","","","","","","",,"example","A coded concept that defines the type of a medication.","http://hl7.org/fhir/ValueSet/medication-codes|5.0.0","",,,,"MedicationKnowledge.code",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.status","MedicationKnowledge.status","","","",0,1,"","Y","Y","code {[]} {[]}
","active | entered-in-error | inactive","A code to indicate if the medication referred to by this MedicationKnowledge is in active use within the drug database or inventory system. The status refers to the validity about the information of the medication and not to its medicinal properties.","This status is intended to identify if the medication in a local system is in active use within a drug database or inventory.  For example, a pharmacy system may create a new drug file record for a compounded product ""ABC Hospital Special Cream"" with an active status.  At some point in the future, it may be determined that the drug record was created with an error and the status is changed to ""entered in error"".   This status is not intended to specify if a medication is part of a particular formulary.  It is possible that the drug record may be referenced by multiple formularies or catalogues and each of those entries would have a separate status.","","","","","","","","",,"required","A coded concept defining if the medication is in active use.","http://hl7.org/fhir/ValueSet/medicationknowledge-status|5.0.0","",,,,"MedicationKnowledge.status",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.author","MedicationKnowledge.author","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization|5.0.0]]}
","Creator or owner of the knowledge or information about the medication","The creator or owner of the knowledge or information about the medication.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.author",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.intendedJurisdiction","MedicationKnowledge.intendedJurisdiction","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Codes that identify the different jurisdictions for which the information of this resource was created","Lists the jurisdictions that this medication knowledge was written for.","The codes could have varying granularity from a country or group of countries down to a specific district.","","","","","","","","",,,,,"",,,,"MedicationKnowledge.intendedJurisdiction",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.name","MedicationKnowledge.name","","","",1,1,"Y","","Y","string {[]} {[]}
","Nome do produto medicinal","Nome do produto medicinal, que pode ser o nome comercial ou o nome genérico, dependendo do contexto de uso e da disponibilidade de informações. O nome deve ser claro e específico para evitar confusões com outros produtos.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.name",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.relatedMedicationKnowledge","MedicationKnowledge.relatedMedicationKnowledge","","","",0,*,"","","","BackboneElement {[]} {[]}
","Associated or related medication information","Associated or related medications. For example, if the medication is a branded product (e.g. Crestor), this is the Therapeutic Moeity (e.g. Rosuvastatin) or if this is a generic medication (e.g. Rosuvastatin), this would link to a branded product (e.g. Crestor.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.relatedMedicationKnowledge",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.relatedMedicationKnowledge.id","MedicationKnowledge.relatedMedicationKnowledge.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"MedicationKnowledgePDH","MedicationKnowledge.relatedMedicationKnowledge.extension","MedicationKnowledge.relatedMedicationKnowledge.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"MedicationKnowledgePDH","MedicationKnowledge.relatedMedicationKnowledge.modifierExtension","MedicationKnowledge.relatedMedicationKnowledge.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"MedicationKnowledgePDH","MedicationKnowledge.relatedMedicationKnowledge.type","MedicationKnowledge.relatedMedicationKnowledge.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Category of medicationKnowledge","The category of the associated medication knowledge reference.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.relatedMedicationKnowledge.type",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.relatedMedicationKnowledge.reference","MedicationKnowledge.relatedMedicationKnowledge.reference","","","",1,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/MedicationKnowledge|5.0.0]]}
","Associated documentation about the associated medication knowledge","Associated documentation about the associated medication knowledge.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.relatedMedicationKnowledge.reference",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.associatedMedication","MedicationKnowledge.associatedMedication","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Medication|5.0.0]]}
","The set of medication resources that are associated with this medication","Links to associated medications that could be prescribed, dispensed or administered.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.associatedMedication",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.productType","MedicationKnowledge.productType","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Category of the medication or product","Category of the medication or product (e.g. branded product, therapeutic moeity, generic product, innovator product, etc.).","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.productType",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.monograph","MedicationKnowledge.monograph","","","",0,*,"","","","BackboneElement {[]} {[]}
","Associated documentation about the medication","Associated documentation about the medication.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.monograph",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"MedicationKnowledgePDH","MedicationKnowledge.monograph.id","MedicationKnowledge.monograph.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
